"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 00:00","2014","01","01","00:00","-16.5","","-19.8","","76","","0.0","","21","","5","","","","101.10","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 01:00","2014","01","01","01:00","-16.2","","-19.7","","75","","0.0","","23","","6","","","","101.14","","","","-21","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 02:00","2014","01","01","02:00","-16.8","","-20.1","","76","","0.0","","24","","12","","","","101.24","","","","-24","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 03:00","2014","01","01","03:00","-16.1","","-19.3","","76","","0.0","","24","","7","","","","101.28","","","","-21","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 04:00","2014","01","01","04:00","-15.6","","-18.8","","77","","0.0","","22","","4","","","","101.32","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 05:00","2014","01","01","05:00","-15.3","","-18.7","","75","","0.0","","16","","3","","","","101.39","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 06:00","2014","01","01","06:00","-15.7","","-19.8","","70","","0.0","","23","","2","","","","101.45","","","","-17","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 07:00","2014","01","01","07:00","-15.9","","-20.3","","69","","0.0","","17","","4","","","","101.54","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 08:00","2014","01","01","08:00","-16.9","","-21.4","","68","","0.0","","20","","4","","","","101.65","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 09:00","2014","01","01","09:00","-16.1","","-22.2","","59","","0.0","","2","","4","","","","101.74","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 10:00","2014","01","01","10:00","-16.1","","-23.7","","52","","0.0","","1","","4","","","","101.86","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 11:00","2014","01","01","11:00","-16.2","","-24.3","","50","","0.0","","24","","5","","","","101.91","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 12:00","2014","01","01","12:00","-16.6","","-24.3","","51","","0.0","","19","","3","","","","101.91","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 13:00","2014","01","01","13:00","-16.3","","-24.9","","48","","0.0","","26","","4","","","","101.94","","","","-19","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 14:00","2014","01","01","14:00","-16.6","","-24.7","","50","","0.0","","36","","4","","","","102.02","","","","-20","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 15:00","2014","01","01","15:00","-17.7","","-25.9","","49","","0.0","","32","","6","","","","102.05","","","","-22","","NA"
"-73.58","45.50","MCTAVISH","7024745","2014-01-01 16:00","2014","01","01","16:00","-18.6","","-26.4","","50","","0.0","","30","","4","","","","102.14","","","","-22","","NA"
