stop_name,stop_lat,stop_lon,icon
STATION ANGRIGNON,45.446466,-73.60311800000001,pin
Station Angrignon,45.446466,-73.60311800000001,circle
Station Angrignon,45.446319,-73.603835,golf
STATION MONK,45.451158,-73.593242,pin
Station Monk,45.451158,-73.593242,circle
Station Monk - Édicule Nord (B),45.451307,-73.59312800000001,golf
Station Monk - Édicule Sud (A),45.451007000000004,-73.59338000000001,golf
STATION JOLICOEUR,45.45701,-73.581691,pin
Station Jolicoeur,45.45701,-73.581691,circle
Station Jolicoeur,45.456787,-73.582115,golf
STATION VERDUN,45.459441,-73.57202099999999,pin
Station Verdun,45.459441,-73.57202099999999,circle
Station Verdun - Édicule Nord (A),45.459222,-73.571833,golf
Station Verdun - Édicule Sud (B),45.459163000000004,-73.57152099999999,golf
STATION DE L'ÉGLISE,45.461894,-73.567074,pin
Station De l'Église,45.461894,-73.567074,circle
Station De l'Église - Édicule Wellington (A),45.461818,-73.567216,golf
Station De l'Église (B),45.462823,-73.565795,golf
STATION LASALLE,45.471063,-73.56626700000001,pin
Station LaSalle,45.471063,-73.56626700000001,circle
Station LaSalle,45.470735999999995,-73.566135,golf
STATION CHARLEVOIX,45.478465,-73.56933599999999,pin
Station Charlevoix,45.478465,-73.56933599999999,circle
Station Charlevoix,45.478318,-73.569349,golf
STATION LIONEL-GROULX,45.482509,-73.58018,pin
Station Lionel-Groulx,45.482509,-73.58018,circle
Station Lionel-Groulx,45.482878,-73.579601,golf
STATION ATWATER,45.490068,-73.585812,pin
Station Atwater,45.490068,-73.585812,circle
Station Atwater - Édicule De Maisonneuve (A),45.48977,-73.58629,golf
Station Atwater - Édicule Ste-Catherine (B),45.489345,-73.584202,golf
STATION GUY-CONCORDIA,45.49557,-73.57930999999999,pin
Station Guy-Concordia,45.49557,-73.57930999999999,circle
Station Guy-Concordia - Édicule Guy (B),45.495678000000005,-73.57905600000001,golf
Station Guy-Concordia - Édicule St-Mathieu (A),45.494521,-73.58075500000001,golf
STATION PEEL,45.500879,-73.574715,pin
Station Peel,45.500879,-73.574715,circle
